CISAC Code,Society name,Former Name,Membership status,Main Repertoire,Secondary Repertoire(s),Foundation Year,Ending,Membership,Membership end,Country
358,OSDEETE,,Provisional,AGP,,,,2025,,GREEECE
359,SRAI ,,Provisional,Audiovisual,,,,2025,,INDIA
360,VAPIK,,Provisional,Audiovisual,,,,2025,,KOSOVO
555,GRD,,,,,,,,,FASTTRACK/GRD
590,SACEM Deal Multi territorial,,Related to CISAC,,,2009 ,,,,SACEM-FRANCE
591,SACEM Deal,,Related to CISAC,,,2018 ,,,,SACEM-FRANCE
592,BACKOFFICE,,Related to CISAC,,,,,,,
635,GEMA-US,,Related to CISAC,,,,,,,Additional CIS-Net Node
658,SACEM-US,,Related to CISAC,,,,,,,Additional CIS-Net Node
672,SGAE-NY,,Related to CISAC,,,,,,,Additional CIS-Net Node
700,WIPO,,Related to CISAC,,,,,,,Code used for the Deployment of the WIPO test CIS-Net node 
701,SONY,,Related to CISAC,,,,,,,
702,BMG,,Related to CISAC,,,,,,,
703,UNIVERSAL,,Related to CISAC,,,,,,,
704,DISCOVERY,,Related to CISAC,,,,,,,
705,KOBALT,,Related to CISAC,,,,,,,
707,MusicMark,NASC,Related to CISAC,,,2013,,,,USA
708,The MLC ,,Provisional,Musical,,,,2025,,USA
710,ISAN,,Related to CISAC,,,,,,,SWITZERLAND
758,SACEM-LIBAN,,Related to CISAC,,,,,,,Additional CIS-Net Node
775,Solar EMI,,Related to CISAC,,,2014,,,,GERMANY/UK
776,Solar Sony,,Related to CISAC,,,2014,,,,GERMANY/UK
777,CELAS,,Related to CISAC,,,2007,,,,GERMANY/UK
778,GMR,,Related to CISAC,,,2013,,,,UNITED STATES
779,Polaris Nordic ,,Related to CISAC,,,2014,,,,SCANDINAVIA
780,UNISON,"IME Licensing Services, S.L.",Client RME ,Musical,,2016,,2021,,SPAIN
781,SOUNDREEF,,Client RME ,Musical,,2008,,2021,,ENGLAND and WALES
782,NexTone,,Client RME ,Musical,,2000,,2021,,JAPAN
783,HEXACORP LTD ,,Client RME ,Musical,,2014,,2021,,USA
784,ESMAA ,,Client RME ,Musical,,2020,,2021,,UNITED ARAB EMIRATES
785,LEA,,Related to CISAC,,,,,,,ITALY
786,ALLTRACK,,Client RME ,Musical,,2017,,2022,,USA
787,ORFIUM Greece,,Out of CISAC,Musical,,2020,,2022,2024,GREECE
788,MINT,,Related to CISAC,,,2017,,,,Hub of 16 Societies established by SESAC and SUISA 
789,GDSDX,,Related to CISAC,,,2022,,,,Asia Pacific
790,MESAM / MSG ,,Related to CISAC,,,2022,,,,Turkey
791,ATLAS,,Related to CISAC,,,2022,,,,ASIA PACIFIC
792,BRIDGER,,Client RME ,Musical,,2022,,2025,,LUXEMBOURG
793,NMP,,Related to CISAC,,,2023,,,,SWEDEN
888,PAECOL,,Related to CISAC,,,,,,,Additional CIS-Net Node
